Right_Answer,Answer,No
bad,insult,183
bad,irritated,184
bad,irritation,185
bad,it's,186
bad,mine,186
bad,keewwl,187
bad,lach,188
bad,awo,188
bad,lah,189
bad,loh,189
bad,leahhh,190
bad,leaoh,190
bad,leave,191
bad,him,191
bad,lgh-uuuhhh,192
bad,listen,193
bad,now!,193
bad,llloaah,194
bad,loaa,195
bad,lol,196
bad,louaa,197
bad,lough,198
bad,luaagg,199
bad,mad,200
bad,mad,201
bad,at,201
bad,something,201
bad,mad,202
bad,person,202
bad,man,203
bad,mapy,204
bad,maybe,205
bad,meaty!,206
bad,mee,207
bad,pee,207
bad,meepee,208
bad,meepee!,209
bad,meepi,210
bad,meepi,210
bad,meepie,211
bad,meeppyy,212
bad,meepy,213
bad,mepee,214
bad,mi-pee,215
bad,with,215
bad,anger,215
bad,mild,216
bad,detest,216
bad,minecraft,217
bad,mipi,218
bad,mipie,219
bad,nauseous,220
bad,nippy,221
bad,not,222
bad,beliving,222
bad,not,223
bad,nice,223
bad,oahh,224
bad,errh,224
bad,(like,224
bad,disgust),224
bad,oh,225
bad,no,225
bad,oh,226
bad,right,226
bad,oohh,227
bad,(realisation,227
bad,noise),227
bad,person,228
bad,name,228
bad,puke,229
bad,pushing,230
bad,something,230
bad,rage,231
bad,realise,232
bad,reepy,233
bad,rejection,234
bad,reprimand,235
bad,reprimanding,236
bad,repugnant,237
bad,repulsive,238
bad,right,239
bad,now,239
bad,rudeness,240
bad,scare,241
bad,scary,242
bad,scoff,243
bad,scold,244
bad,scolding,245
bad,scream,246
bad,screaming,247
bad,screw,248
bad,you,248
bad,shouting,249
bad,sick,250
bad,snarl,251
bad,sneezing,252
bad,sound,253
bad,of,253
bad,disgust,253
bad,speaking,254
bad,stern,255
bad,stretching,256
bad,surprise,257
bad,surprizing,258
bad,there,259
bad,tired,260
bad,to,261
bad,scare,261
bad,uagg...disgust,262
bad,uehh,263
bad,ouhh,263
bad,ugggh,264
bad,ugh,265
bad,ugh,266
bad,uegh,266
bad,ugh,267
bad,ugh,267
bad,ugly,268
bad,uhuho,269
bad,uoooo,270
bad,upset,271
bad,urgh,272
bad,utter,273
bad,disgust,273
bad,uughh,274
bad,very,275
bad,angry,275
bad,vomit,276
bad,vomiting,277
bad,wake,278
bad,up,278
bad,wants,279
bad,to,279
bad,vomit,279
bad,weird,280
bad,vocal,280
bad,sound,280
bad,whippy,281
bad,whoack,282
bad,whoack,282
bad,wifi,283
bad,witch,284
bad,woah,285
bad,wooo,286
bad,wuuuueeel,287
bad,yak,288
bad,yak,289
bad,-,289
bad,disgusting,289
bad,yawning,290
bad,yawning,291
bad,deeper,291
bad,yelling,292
bad,yeugh,293
bad,yipee,294
bad,yippii,295
bad,yuck,296
bad,yuckkk,297
bad,yucky,298
bad,“get,299
bad,out!”,299
bad,NA,300
big,a,1
big,word,1
big,abstract,2
big,aaah,3
big,admiration,4
big,admiring,5
big,adult,6
big,in,6
big,concordance,6
big,amazed,7
big,amazement,8
big,amazing,9
big,an,10
big,animal,10
big,assenting,11
big,astonishment,12
big,awakening,13
big,awe,14
big,baby,15
big,crying,15
big,bad,16
big,impression,16
big,surprise,16
big,beware,17
big,big,18
big,come,19
big,on,19
big,comprehension,20
big,danger,21
big,discovery,22
big,don’t,23
big,know,23
big,"dreadful,",24
big,exhaustion,24
big,emphasising,25
big,enjoyment,26
big,enunciating,27
big,finally,28
big,funny,29
big,sound,29
big,getting,30
big,up,30
big,from,30
big,chair,30
big,ghost,31
big,greater,32
big,understanding,32
big,"groan,",33
big,oh,33
big,no,33
big,groaning,34
big,hurt,35
big,impressive,36
big,intimidating,37
big,korean,38
big,amazement,38
big,lady,39
big,lazy,40
big,likes,41
big,something,41
big,maog,42
big,ma,43
big,oga,43
big,malga,44
big,maoga,45
big,maow,46
big,ga,46
big,mauga,47
big,men’s,48
big,oooo,48
big,meow,49
big,milk,50
big,moaga,51
big,morgue,52
big,mother,53
big,mr,54
big,bean,54
big,my,55
big,god,55
big,my,56
big,god,56
big,not,57
big,sure,57
big,overwhelm,58
big,pronunciation,59
big,read,60
big,realization,61
big,roar,62
big,roaring,63
big,sing,64
big,surprise,65
big,satisfied,66
big,scare,67
big,scared,68
big,shock,69
big,small,70
big,one,70
big,snoar,71
big,so,72
big,cool,72
big,speaking,73
big,strange,74
big,sound,74
big,strange,75
big,sounds,75
big,strenght,76
big,stunned,77
big,suprised,78
big,sure,79
big,suroprise,80
big,surprise,81
big,surprised,82
big,talk,83
big,talking,84
big,teaching,85
big,there,86
big,you,86
big,are,86
big,this,87
big,way,87
big,too,88
big,much,88
big,tribe,89
big,uau,90
big,understanding,91
big,uwaah,92
big,vocalization,93
big,whoaaah,94
big,woah,95
big,waaaaa,96
big,welcome,97
big,what,98
big,whoa,99
big,whoa,100
big,sound,100
big,woah,101
big,women’s,102
big,strange,102
big,sounds,102
big,woooaah,103
big,wooooaaah,104
big,woooooah,105
big,wow,106
big,wow!,107
big,excitement,107
big,"wow,",108
big,sound,108
big,of,108
big,wonder,108
big,or,108
big,surprise,108
big,yawn,109
big,yawn,110
big,yawning,111
big,a,112
big,cat?,112
big,admiration,113
big,admire,114
big,admired,115
big,adult,116
big,talking,116
big,child,116
big,agree,117
big,amazed,118
big,amazed,119
big,by,119
big,something,119
big,amazed,120
big,kid,120
big,amazed,121
big,man,121
big,amazed,122
big,or,122
big,looking,122
big,at,122
big,food,122
big,amazement,123
big,amazing,124
big,annoyed,125
big,appreaciating,126
big,astonished,127
big,astonishment,128
big,awe,129
big,awesome,130
big,awestruck,131
big,awsome,132
big,baby,133
big,baby,134
big,talk,134
big,bad,135
big,baby,135
big,bear,136
big,before,137
big,the,137
big,sleep,137
big,being,138
big,amazed,138
big,being,139
big,impressed,139
big,big,140
big,big,141
big,object,141
big,big,142
big,surprise,142
big,bodybuilding,143
big,boredom,144
big,bowl,145
big,breathe,146
big,buttock,147
big,bwaah,148
big,call,149
big,calling,150
big,cat,151
big,child,152
big,speaking,152
big,child,153
big,suprised,153
big,children,154
big,come,155
big,here,155
big,complaining,156
big,conclussion,157
big,cooing,158
big,danger,159
big,delight/awe,160
big,discovery,161
big,disgust,162
big,don't,163
big,know,163
big,dont,164
big,know,164
big,elder,165
big,enlightment,166
big,entusiasm,167
big,enunciating,168
big,enunciation,169
big,everything,170
big,excitement,171
big,exclamation,172
big,exited,173
big,experiencing,174
big,something,174
big,incredible,174
big,explaining,175
big,something,175
big,expressing,176
big,disbelief,176
big,falling,177
big,"family,",178
big,home,178
big,feeling,179
big,shocked,179
big,frustrated,180
big,giant,181
big,gibberish,182
big,giving,183
big,an,183
big,example,183
big,grand,184
big,grandmother,185
big,groan,186
big,happy,187
big,huaaaaw,188
big,hum,189
big,i,190
big,agree,190
big,i,191
big,see,191
big,impressed,192
big,impressed,193
big,male,193
big,impressed,194
big,person,194
big,in,195
big,awe,195
big,incomprehensible,196
big,incredulous,197
big,indigenous,198
big,instruct,199
big,interested,200
big,interesting,201
big,intimidate,202
big,irony,203
big,kitten,204
big,large,205
big,learn,206
big,lion,207
big,maaaalga,208
big,maaaaoogah,209
big,maaaauuugaaaa,210
big,maaauga,211
big,maaauguh,212
big,maauwga,213
big,maho,214
big,gah,214
big,malaga,215
big,malga,216
big,malva,217
big,man,218
big,man,219
big,go,219
big,man,220
big,interested,220
big,man,221
big,surprised,221
big,mao,222
big,ga,222
big,maoga,223
big,maoo-ga,224
big,maooga,225
big,maooo,226
big,ga,226
big,maoooo,227
big,ka,227
big,marveling,228
big,at,228
big,something,228
big,marvelling,229
big,mau,230
big,ga,230
big,mauca,231
big,mauga,232
big,mauguh,233
big,mawg,234
big,mawga,235
big,meditation,236
big,meowing,237
big,mild,238
big,surprise,238
big,milka,239
big,miming,240
big,mind-blowing,241
big,mine,242
big,mom,243
big,monster,244
big,impression,244
big,mother,245
big,motivating,246
big,mounga,247
big,mouth,248
big,mowga,249
big,mowwoga,250
big,mug,251
big,mug,252
big,?,252
big,mulg,253
big,my,254
big,god,254
big,name,255
big,nice,256
big,nonsense,257
big,nothing,258
big,now,259
big,now,260
big,i,260
big,see,260
big,ogre,261
big,oh,262
big,god,262
big,why,262
big,oh,263
big,no,263
big,oh,264
big,"no,",264
big,sugar,264
big,ohh,265
big,uau,265
big,ohhhhh,266
big,old,267
big,chinese,267
big,instrument,267
big,oooarrrrr,268
big,oooh,269
big,opening,270
big,mouth,270
big,pain,271
big,pleasure,272
big,portuguese,273
big,pray,274
big,praying,275
big,presenting,276
big,oneself,276
big,primitive,277
big,pronouncing,278
big,pronouncing,279
big,words,279
big,proud,280
big,pulling,281
big,raw,282
big,relief,283
big,remember,284
big,request,285
big,roaa,286
big,roar,287
big,sadness,288
big,samurai,289
big,satisfaction,290
big,scaring,291
big,someone,291
big,scary,292
big,settle,293
big,down,293
big,shock,294
big,shocked,295
big,shocked/stunned,296
big,sing,297
big,singing,298
big,siren,299
big,sleep,300
big,slight,301
big,amazement,301
big,slow,302
big,speak,303
big,speak,304
big,slowly,304
big,speech,305
big,learning,305
big,spelling,306
big,or,306
big,teaching,306
big,sudden,307
big,understanding,307
big,suprise,308
big,suprised,309
big,surprise,310
big,surprise,311
big,(whale),311
big,surprise,312
big,expresion,312
big,surprise/,313
big,delight,313
big,surprised,314
big,surprised,315
big,chinese,315
big,woman,315
big,surprised,316
big,expresion,316
big,surprising,317
big,talk,318
big,talking,319
big,teaching,320
big,teaching,321
big,to,321
big,talk,321
big,there,322
big,it,322
big,is,322
big,there,323
big,you,323
big,go,323
big,tired,324
big,tribe,325
big,u-waaaah,326
big,uncultured,327
big,yawning,327
big,understand,328
big,understanding,329
big,unexpected,330
big,uooohhhhh...,331
big,exclamation,331
big,uuhhh-whoaaa,332
big,uuuuooooooooh,333
big,uuuuuewow,334
big,vocal,335
big,exercise,335
big,waaaaa,336
big,waaaaoh,337
big,waking,338
big,up,338
big,whaaaa,339
big,whale,340
big,whhaa,341
big,whoa,342
big,whoaaaa,343
big,whoaaaaaa,344
big,whoo,345
big,ahhh,345
big,widget,346
big,witch,347
big,magic,347
big,spell,347
big,woaaaaah,348
big,woaaaahhhhh,349
big,woaah,350
big,(like,350
big,impressed),350
big,woah,351
big,woah!,352
big,woman,353
big,wonder,354
big,wonderful,355
big,wondering,356
big,wonderment,357
big,wooah,358
big,woooho,359
big,woooo,360
big,wooooo,361
big,woooooa,362
big,woooooaaa,363
big,woooooah,364
big,wooooow,365
big,wow,366
big,wow,367
big,sound,367
big,"wow,",368
big,amazed,368
big,wowwaaa,369
big,wuuaaaaa,370
big,wuuuaaahhh,371
big,wuuuuuooooooohhhhh,372
big,wwooah,373
big,yawn,374
big,yawning,375
big,zombie,376
big,NA,377
child,agony,1
child,amazement,2
child,anime,3
child,sounds,3
child,baby,4
child,baby,5
child,cry,5
child,baby,6
child,crying,6
child,baby,7
child,laser,7
child,beam,7
child,baby,8
child,talk,8
child,baby,9
child,wail,9
child,baby,10
child,whining,10
child,bawling,11
child,but,12
child,why,12
child,cry,13
child,crying,14
child,cat,15
child,cat,16
child,snoar,16
child,cat,17
child,sounds,17
child,child,18
child,child,19
child,crying,19
child,child,20
child,interacting,20
child,child,21
child,whining,21
child,childish,22
child,chinese,23
child,come,24
child,on,24
child,come,25
child,on,25
child,true,25
child,come,26
child,"on,",26
child,hun,26
child,counting,27
child,cry,28
child,crybaby,29
child,crying,30
child,crying,31
child,baby,31
child,crying,32
child,imitation,32
child,"crying,",33
child,sneezing,33
child,cute,34
child,sneeze,34
child,danger,35
child,dog,36
child,whining,36
child,door,37
child,closing,37
child,door,38
child,opening,38
child,eh,39
child,eh,39
child,eeeeeh,39
child,go,40
child,away,40
child,human,41
child,,41
child,meow,41
child,infant,42
child,japanese,43
child,sneeze,43
child,kitten,44
child,lets,45
child,go,45
child,moaning,46
child,man,47
child,crying,47
child,like,47
child,a,47
child,baby,47
child,men’s,48
child,eeee,48
child,moaning,49
child,"pain,",50
child,or,50
child,crying,50
child,person,51
child,imitating,51
child,cat,51
child,playing,52
child,with,52
child,baby,52
child,pleading,53
child,please,54
child,purring,55
child,quanchu,56
child,request,57
child,sound,58
child,sad,59
child,sad,60
child,child,60
child,sad,61
child,sound,61
child,sad,62
child,surprise,62
child,sadness,63
child,scared,64
child,sick,65
child,sing,66
child,sneezing,67
child,sobbing,68
child,sobing,69
child,talking,70
child,uaaa,71
child,chee,71
child,unhappy,72
child,upset,73
child,wail,74
child,wailing,75
child,weeee,76
child,whine,77
child,whine,78
child,/,78
child,cry,78
child,whining,79
child,"whining,",80
child,complaining,80
child,why,81
child,not,81
child,women’s,82
child,squeals,82
child,wooaah,83
child,aaahchew!,84
child,adorable,85
child,puppy,85
child,adults,86
child,talking,86
child,child,86
child,amazed,87
child,woman,87
child,animal,88
child,animal,89
child,noises,89
child,annoyed,90
child,child,90
child,asking,91
child,asking,92
child,for,92
child,attention,92
child,attention,93
child,seeking,93
child,"aww,",94
child,cute,94
child,baby,95
child,baby,96
child,bird,96
child,baby,97
child,calling,97
child,baby,98
child,cry,98
child,baby,99
child,cry,99
child,attention,99
child,baby,100
child,cry,100
child,sound,100
child,baby,101
child,crying,101
child,baby,102
child,crying,102
child,imitation,102
child,baby,103
child,noise,103
child,baby,104
child,noises,104
child,baby,105
child,sickness,105
child,baby,106
child,whimpering,106
child,"baby,",107
child,door,107
child,babyish,108
child,cry,108
child,beeping,109
child,beg,110
child,begging,111
child,bird,112
child,bird,113
child,getting,113
child,shot,113
child,bored,114
child,c'mon,115
child,cars,116
child,cartoon,117
child,cat,118
child,cat,119
child,cry,119
child,cat,120
child,meow,120
child,cat,121
child,sneezing,121
child,cat,122
child,whining,122
child,chicken,123
child,sound,123
child,child,124
child,child,125
child,crying,125
child,(imitating),125
child,child,126
child,surprised,126
child,child,127
child,whimper,127
child,childish,128
child,childish,129
child,crying,129
child,sound,129
child,childish,130
child,sneezing,130
child,chirp,131
child,chirps,132
child,chu,133
child,close,134
child,door,134
child,closing,135
child,door,135
child,come,136
child,here,136
child,come,137
child,"on,",137
child,go,137
child,come,138
child,with,138
child,complaining,139
child,complaints,140
child,cooam-tup,141
child,corrnn-tshooo,142
child,coummm...chu,143
child,counting,144
child,craaa,145
child,chew,145
child,cries,146
child,cring,147
child,crrwuuh,148
child,te,148
child,crunchy,149
child,cry,150
child,crying,151
child,crying,152
child,baby,152
child,crying,153
child,for,153
child,something,153
child,crying,154
child,or,154
child,weeping,154
child,"crying,",155
child,baby's,155
child,cry,155
child,cryyy,156
child,cuatu,157
child,cub,158
child,cute,159
child,despair,160
child,disgust,161
child,displeased,162
child,distress,163
child,distressed,164
child,infant,164
child,dog,165
child,crying,165
child,dog,166
child,mimic,166
child,don't,167
child,know,167
child,dont,168
child,know,168
child,door,169
child,door,170
child,open,170
child,door,171
child,opening,171
child,e,172
child,ee,172
child,eeee,172
child,e,173
child,eh,173
child,ehh,173
child,ear,174
child,ear,174
child,ear,174
child,ee-ee-eeeeh,175
child,effort,176
child,ehehehh,177
child,ehehehhe,178
child,ehhh,179
child,eeehhh,179
child,eeeeeeeeeh,179
child,endearing,180
child,erg,181
child,erg,181
child,errrggggg,181
child,ewain,182
child,fake,183
child,baby,183
child,crying,183
child,fake,184
child,crying,184
child,fart,185
child,fast,186
child,feline,187
child,flies,188
child,buzzing,188
child,get,189
child,up,189
child,groan,190
child,of,190
child,pain,190
child,gurrhr,191
child,he-he-heee,192
child,hen,193
child,hurt,194
child,huuuuuaa,195
child,ciuu,195
child,infant,196
child,or,196
child,toddler,196
child,in,196
child,distress,196
child,insect,197
child,intimidated,198
child,ki,199
child,ki,199
child,ki,199
child,kitten,200
child,kitten,201
child,moan,201
child,kua,202
child,tchu,202
child,kuwan,203
child,wimp,203
child,laser,204
child,shooting,204
child,laughing,205
child,lazy,206
child,little,207
child,cries,207
child,man,208
child,man,209
child,immitating,209
child,baby,209
child,crying,209
child,manly,210
child,baby,210
child,me,211
child,too,211
child,meow,212
child,meowing,213
child,"meowing,",214
child,creak,214
child,mewing,215
child,miaow,216
child,miau,217
child,mimic,218
child,baby,218
child,cry,218
child,mmheemhee,219
child,mmhmmmhmm,220
child,moaning,221
child,mosquito,222
child,moved,223
child,muffled,224
child,crying,224
child,mum,225
child,sneeze,225
child,nagging,226
child,cry,226
child,nagging,227
child,sound,227
child,newborn,228
child,newborn,229
child,crying,229
child,no,230
child,idea,230
child,oh,231
child,no,231
child,old,232
child,door,232
child,one,233
child,two,233
child,owa,234
child,o,234
child,planes,235
child,playful,236
child,playing,237
child,playing,238
child,with,238
child,kids,238
child,pleading,239
child,please,240
child,please,241
child,help,241
child,me,241
child,princess,242
child,sneeze,242
child,qaaaa,243
child,ping,243
child,sad,244
child,sad,245
child,baby,245
child,sad,246
child,cat,246
child,"sad,",247
child,crying,247
child,sarcastic,248
child,baby,248
child,cry,248
child,scare,249
child,scared,250
child,sheep,251
child,sheep,252
child,sound,252
child,shoot,253
child,shoots,254
child,sick,255
child,silent?,256
child,singing,257
child,sleep,258
child,sleepy,259
child,sneeze,260
child,sneeze,261
child,?,261
child,sneeze,262
child,impression,262
child,sneezing,263
child,sneezing,264
child,parrot,264
child,sneezing,265
child,sound,265
child,sob,266
child,speaking,267
child,speking,268
child,squeak,269
child,squeaking,270
child,starting,271
child,to,271
child,cry,271
child,stop,272
child,whining,272
child,stretching,273
child,successfully,274
child,completed,274
child,talking,275
child,to,275
child,baby,275
child,teacher,276
child,teenager,277
child,to,278
child,sneeze,278
child,toy,279
child,train,280
child,uenuenuen,281
child,uenuuen,282
child,waaaa,283
child,waaaaah,284
child,waaeee,285
child,waatchu,286
child,wah,287
child,wah,287
child,waah,287
child,wailing,288
child,waking,289
child,up,289
child,want,290
child,weeaaah,291
child,weeeeh,292
child,weeping,293
child,weeping,294
child,child,294
child,weird,295
child,sneeze,295
child,wheeeeeeee,296
child,whehhhh,297
child,wheining,298
child,whimpering,299
child,whine,300
child,whinge,301
child,whinging,302
child,whining,303
child,whining,304
child,baby,304
child,wieee,305
child,woman,306
child,crying,306
child,woooo,307
child,shu,307
child,yawn?,308
child,yes,309
child,NA,310
cook,air,1
cook,taste,1
cook,airplane,2
cook,amsr,3
cook,amusement,4
cook,bad,5
cook,joke,5
cook,beat,6
cook,beat,7
cook,box,7
cook,beat,8
cook,boxing,8
cook,beatbox,9
cook,"bird,",10
cook,"snake,",10
cook,flying,10
cook,blowing,11
cook,blowing,12
cook,a,12
cook,kiss,12
cook,blowing,13
cook,and,13
cook,eating,13
cook,blowing,14
cook,on,14
cook,food,14
cook,to,14
cook,cool,14
cook,it,14
cook,"blowing,",15
cook,eating,15
cook,boredom,16
cook,bottle,17
cook,opening,17
cook,brush,18
cook,teeth,18
cook,burn,19
cook,something,19
cook,call,20
cook,canned,21
cook,drink,21
cook,cat,22
cook,chewing,23
cook,chs,24
cook,chs,24
cook,chsss,24
cook,pa,24
cook,pa,24
cook,clashing,25
cook,cold,26
cook,confusion,27
cook,cooking,28
cook,cooking,29
cook,spunds,29
cook,cymbals,30
cook,don't,31
cook,know,31
cook,dancing,32
cook,danger,33
cook,deception,34
cook,disgust,35
cook,disgusting,36
cook,drink,37
cook,drink,38
cook,soup,38
cook,drinking,39
cook,drinking,40
cook,broth,40
cook,drowning,41
cook,drum,42
cook,drum,43
cook,hi-hat,43
cook,drum,44
cook,sounds,44
cook,"drums,",45
cook,hi-hats,45
cook,eat,46
cook,eat,47
cook,eat,48
cook,or,48
cook,chew,48
cook,eating,49
cook,fire,50
cook,hissing,50
cook,freezing,51
cook,funny,52
cook,go,53
cook,away,53
cook,hissing,54
cook,hot,55
cook,hard,56
cook,hi,57
cook,hat,57
cook,hihat,58
cook,beatbox,58
cook,hissing,59
cook,hot,60
cook,hot,61
cook,food,61
cook,hot,62
cook,or,62
cook,steam,62
cook,i,63
cook,was,63
cook,walking,63
cook,imitating,64
cook,beat,64
cook,inarticulate,65
cook,sounds,65
cook,insult,66
cook,it’s,67
cook,windy,67
cook,lighting,68
cook,up,68
cook,candle,68
cook,like,69
cook,a,69
cook,beat,69
cook,lip,70
cook,smacking,70
cook,lubdub,71
cook,making,72
cook,nonsense,72
cook,noise,72
cook,men’s,73
cook,ccc,73
cook,mouth,74
cook,munching,75
cook,music,76
cook,open,77
cook,,77
cook,the,77
cook,drink,77
cook,open,78
cook,soda,78
cook,and,78
cook,pu,78
cook,it,78
cook,in,78
cook,glass,78
cook,opening,79
cook,pop,79
cook,can,79
cook,opening,80
cook,soda,80
cook,percussions,81
cook,perfume,82
cook,person,83
cook,tasting,83
cook,food,83
cook,playing,84
cook,playing,85
cook,drums,85
cook,please,86
cook,no,86
cook,press,87
cook,play,87
cook,putting,88
cook,out,88
cook,candle,88
cook,quiet,89
cook,quiet,90
cook,hiss,90
cook,rambling,91
cook,rapping,92
cook,rejection,93
cook,sound,94
cook,scornful,95
cook,scratching,96
cook,tsk,96
cook,tsk,96
cook,shower,97
cook,sighing,98
cook,silly,99
cook,silly,100
cook,music,100
cook,singing,101
cook,sip,102
cook,sippinng,103
cook,sizzle,104
cook,slurp,105
cook,smack,105
cook,smack,106
cook,lips,106
cook,snake,107
cook,snore,108
cook,snoring,109
cook,snorring,110
cook,sound,111
cook,sound,112
cook,imitation,112
cook,sour,113
cook,taste,113
cook,spray,114
cook,starting,115
cook,car,115
cook,stopped,116
cook,strange,117
cook,sound,117
cook,sunth,118
cook,taste,119
cook,tasting,120
cook,tiredness,121
cook,train,122
cook,ts,123
cook,ts,123
cook,ts,124
cook,tsss,124
cook,tsk,125
cook,tsk,125
cook,tsk,126
cook,tsk,126
cook,"tssss,",126
cook,bloop,126
cook,bloop,126
cook,tss,127
cook,tss,127
cook,uneducated,128
cook,vacuum,129
cook,cleaner,129
cook,very,130
cook,tasty,130
cook,vocal,131
cook,exercise,131
cook,warming,132
cook,voice,132
cook,whisper,133
cook,windy,134
cook,day,134
cook,yawn,135
cook,adults,136
cook,talking,136
cook,child,136
cook,air,137
cook,intake,137
cook,alien,138
cook,gibberish,138
cook,annoyance,139
cook,annoying,140
cook,attention,141
cook,ba,142
cook,dum,142
cook,tssss,142
cook,babbling,143
cook,barbeque,144
cook,bath,145
cook,battery,146
cook,plates,146
cook,be,147
cook,quiet,147
cook,beat,148
cook,beat,149
cook,box,149
cook,beat,150
cook,boxing,150
cook,beat,151
cook,with,151
cook,mouth,151
cook,beatbox,152
cook,beatboxing,153
cook,blow,154
cook,blow,155
cook,and,155
cook,eat,155
cook,blowing,156
cook,and,156
cook,eating,156
cook,blowing,157
cook,on,157
cook,"food,",157
cook,then,157
cook,smacking,157
cook,lips,157
cook,together,157
cook,blowing,158
cook,out,158
cook,boast,159
cook,boil,160
cook,water,160
cook,boiling,161
cook,boiling,162
cook,pot,162
cook,boiling,163
cook,water,163
cook,bored,164
cook,breathing,165
cook,in,165
cook,burning,166
cook,burns,167
cook,bus,168
cook,making,168
cook,stops,168
cook,calling,169
cook,a,169
cook,dog,169
cook,for,169
cook,food,169
cook,calm,170
cook,can,171
cook,of,171
cook,soda,171
cook,can,172
cook,of,172
cook,soda,172
cook,opening,172
cook,car,173
cook,caution,174
cook,cheering,175
cook,up,175
cook,someone,175
cook,chewing,176
cook,chewing,177
